City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
233,Bandarbeyla,SO,76.96,scattered clouds,9.4942,50.8122,JABIR HOTEL
235,Hoyanger,NO,84.07,clear sky,61.2204,6.0749,Øren Hotel
239,Carman,CA,89.92,broken clouds,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
241,Praia Da Vitoria,PT,82.65,broken clouds,38.7333,-27.0667,Hotel Branco I
250,Cavalcante,BR,83.46,scattered clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
253,Ardino,BG,77.45,broken clouds,41.5833,25.1333,Hotel Asara
256,Pedasi,PA,81.73,overcast clouds,7.5333,-80.0333,Selina Pedasi
258,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
260,Fauldhouse,GB,77.94,overcast clouds,55.8275,-3.7074,Best Western The Hilcroft Hotel
262,Ilebo,CD,83.14,broken clouds,-4.3167,20.5833,Hôtel BUMAK
266,Ormara,PK,82.65,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
267,La Macarena,CO,80.19,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
268,Kieta,PG,77.85,light rain,-6.2167,155.6333,Uruna Bay Retreat
269,Ayame,CI,76.73,overcast clouds,5.6083,-3.1563,Hotel Bossan
271,Kanniyakumari,IN,79.95,overcast clouds,8.0833,77.5667,Sparsa
285,Victoria,HK,87.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
286,Kimbe,PG,75.02,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
287,Albertville,US,89.85,clear sky,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
292,Carmo Do Rio Verde,BR,86.72,broken clouds,-15.3536,-49.7075,Pousada Do Lago
293,Takoradi,GH,76.48,broken clouds,4.8845,-1.7554,Raybow International Hotel
294,Hithadhoo,MV,82.63,overcast clouds,-0.6,73.0833,Scoop Guest House
298,Kilrush,IE,77.88,light rain,52.6397,-9.4833,Innwood House
302,Jambi,ID,75.16,heavy intensity rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
303,Guerrero Negro,MX,82.42,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
304,Madang,PG,76.89,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
305,Mancio Lima,BR,89.67,few clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
306,Benjamin Constant,BR,89.73,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
309,Mizdah,LY,87.06,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
313,Sinnamary,GF,82.17,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
321,Biasca,CH,87.78,scattered clouds,46.3597,8.9697,Al Giardinetto
322,Vanimo,PG,77.13,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
323,Vaitape,PF,78.1,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
324,Laramie,US,81.16,overcast clouds,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
325,Hue,VN,87.91,broken clouds,16.4667,107.6,Saigon Morin Hotel
335,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
338,Luganville,VU,77.47,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
340,Padang,ID,77.5,scattered clouds,-0.9492,100.3543,Mercure Padang
341,Sola,VU,79.77,overcast clouds,-13.8833,167.55,Leumerus Bungalows
342,Xuddur,SO,77.5,broken clouds,4.1213,43.8894,Banjanay Hotel
348,Salta,AR,78.58,clear sky,-24.7859,-65.4117,Hotel Alejandro I
351,Kpandae,GH,79.72,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
354,Esil,KZ,77.43,broken clouds,51.9556,66.4042,Egorkino Hotel
356,Tura,IN,75.13,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
357,Manokwari,ID,78.46,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
360,Sisophon,KH,76.53,light rain,13.5859,102.9737,Pyramid Hotel
361,La Asuncion,VE,87.53,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
363,Namatanai,PG,77.79,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
370,Kashi,CN,83.23,broken clouds,39.4547,75.9797,帕米尔青年旅舍
371,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
373,La Rioja,ES,80.04,overcast clouds,42.25,-2.5,Casa Concejos
376,Dingle,PH,78.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
380,Villa Maria,AR,78.08,broken clouds,-32.4075,-63.2402,Hotel Milenium
382,Sicamous,CA,75.11,broken clouds,50.8331,-118.9856,Best Western Sicamous Inn
384,Port Blair,IN,81.52,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
385,Marsh Harbour,BS,83.5,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
388,Bobcaygeon,CA,80.15,clear sky,44.5462,-78.542,The Bobcaygeon Inn
390,Nago,JP,80.76,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
391,Zamora,EC,83.44,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
392,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
393,Porto Seguro,BR,75.72,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
395,Eyl,SO,78.69,overcast clouds,7.9803,49.8164,Amiin Hotel
396,San Vicente,AR,78.71,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
400,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
405,Kamal,ID,76.89,clear sky,-7.1678,112.7192,Pondok AIN (Kost pria kamar mandi dalam)
407,Sabang,ID,83.73,overcast clouds,5.8933,95.3214,Hotel Citra
412,Mondovi,IT,82.15,overcast clouds,44.396,7.8176,Park Hotel
413,Denpasar,ID,76.66,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
414,Batticaloa,LK,82.62,overcast clouds,7.7102,81.6924,Grand Star Guest House
415,Hobbs,US,88.47,overcast clouds,32.7026,-103.136,Best Western Executive Inn
417,Hashtrud,IR,76.14,clear sky,37.4779,47.0508,Mahan Hotel
422,Sibolga,ID,77.22,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
423,Myitkyina,MM,75.47,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
