City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kavieng,PG,2021-07-22 19:33:48,-2.5744,150.7967,81.97,79,71,13.6
68,Dunedin,NZ,2021-07-22 19:38:48,-45.8742,170.5036,42.8,77,3,1.01
69,Praia Da Vitoria,PT,2021-07-22 19:38:48,38.7333,-27.0667,73.65,64,40,12.03
70,Vytegra,RU,2021-07-22 19:38:49,61.0064,36.4481,55.54,94,100,8.43
71,Zhezkazgan,KZ,2021-07-22 19:38:49,47.8043,67.7144,76.26,33,0,12.06
72,Aklavik,CA,2021-07-22 19:38:50,68.2191,-135.0107,56.12,94,90,16.11
73,Bethel,US,2021-07-22 19:38:51,41.3712,-73.414,82.09,57,20,1.01
74,Kulmbach,DE,2021-07-22 19:38:51,50.1,11.45,69.03,86,10,5.28
75,Coihaique,CL,2021-07-22 19:38:52,-45.5752,-72.0662,41.61,93,90,4.61
76,Isangel,VU,2021-07-22 19:34:05,-19.55,169.2667,74.48,87,94,8.81
77,Dwarka,IN,2021-07-22 19:38:53,22.2394,68.9678,83.1,84,100,19.13
78,Buzmeyin,TM,2021-07-22 19:38:54,38.0507,58.2056,87.53,22,20,2.3
79,Fethiye,TR,2021-07-22 19:38:54,36.6217,29.1164,82.27,54,7,3.71
80,Nassau,US,2021-07-22 19:38:30,40.7507,-73.5829,83.95,51,1,1.99
81,Hobart,AU,2021-07-22 19:38:14,-42.8794,147.3294,51.26,67,100,4.0
82,Sistranda,NO,2021-07-22 19:38:56,63.7256,8.834,52.9,86,100,16.35
83,Tautira,PF,2021-07-22 19:38:57,-17.7333,-149.15,80.62,73,37,12.68
84,Pevek,RU,2021-07-22 19:38:57,69.7008,170.3133,40.06,71,98,2.24
85,Butaritari,KI,2021-07-22 19:38:58,3.0707,172.7902,83.46,75,21,16.42
86,Mar Del Plata,AR,2021-07-22 19:37:55,-38.0023,-57.5575,62.62,55,0,10.36
87,Lavrentiya,RU,2021-07-22 19:38:59,65.5833,-171.0,39.45,84,100,4.25
88,Tiksi,RU,2021-07-22 19:38:59,71.6872,128.8694,41.32,81,100,5.32
89,Vaini,TO,2021-07-22 19:38:59,-21.2,-175.2,76.35,68,100,8.46
90,Uaua,BR,2021-07-22 19:39:00,-9.8414,-39.4817,77.52,51,59,16.08
91,Coquimbo,CL,2021-07-22 19:39:00,-29.9533,-71.3436,53.33,82,75,12.66
92,Kushiro,JP,2021-07-22 19:39:01,42.975,144.3747,65.17,95,100,5.5
93,Egvekinot,RU,2021-07-22 19:39:02,66.3167,-179.1667,41.14,79,99,0.96
94,Salinopolis,BR,2021-07-22 19:39:03,-0.6136,-47.3561,81.3,79,45,13.09
95,Sur,OM,2021-07-22 19:39:03,22.5667,59.5289,93.78,46,13,13.91
96,Cockburn Town,TC,2021-07-22 19:39:04,21.4612,-71.1419,85.96,66,40,13.8
97,Port Alfred,ZA,2021-07-22 19:39:05,-33.5906,26.891,53.08,64,100,26.6
98,Vila Franca Do Campo,PT,2021-07-22 19:35:14,37.7167,-25.4333,72.01,71,87,7.54
99,Bambous Virieux,MU,2021-07-22 19:36:34,-20.3428,57.7575,70.21,77,40,11.5
100,Walvis Bay,NA,2021-07-22 19:39:06,-22.9575,14.5053,56.35,62,0,3.44
101,Chik,RU,2021-07-22 19:39:06,54.9928,82.4311,61.18,94,0,4.47
102,Cherskiy,RU,2021-07-22 19:39:07,68.75,161.3,58.87,66,98,0.98
103,Georgetown,MY,2021-07-22 19:37:11,5.4112,100.3354,84.88,83,20,0.0
104,Grand Gaube,MU,2021-07-22 19:39:08,-20.0064,57.6608,70.38,67,58,5.99
105,Grasse,FR,2021-07-22 19:39:08,43.6667,6.9167,71.92,80,75,3.44
106,Ponta Do Sol,PT,2021-07-22 19:39:09,32.6667,-17.1,75.83,62,20,4.81
107,The Valley,AI,2021-07-22 19:39:10,18.217,-63.0578,86.14,74,20,17.27
108,Rawson,AR,2021-07-22 19:39:10,-43.3002,-65.1023,60.19,31,100,10.22
109,Batemans Bay,AU,2021-07-22 19:38:52,-35.7167,150.1833,45.91,69,100,4.94
110,Tokur,RU,2021-07-22 19:39:12,53.1333,132.9,63.9,97,42,2.91
111,Wukari,NG,2021-07-22 19:39:12,7.85,9.7833,73.2,89,100,6.46
112,Beloha,MG,2021-07-22 19:34:40,-25.1667,45.05,68.02,77,7,1.83
113,Victoria,HK,2021-07-22 19:35:26,22.2855,114.1577,83.32,88,100,1.01
114,Katobu,ID,2021-07-22 19:39:15,-4.9408,122.5276,71.94,95,71,0.6
115,Cayenne,GF,2021-07-22 19:39:17,4.9333,-52.3333,85.08,77,75,3.0
116,Saint George,US,2021-07-22 19:39:17,37.1041,-113.5841,99.43,34,1,1.01
117,Kaitangata,NZ,2021-07-22 19:39:18,-46.2817,169.8464,39.92,81,13,6.49
118,Tuktoyaktuk,CA,2021-07-22 19:39:18,69.4541,-133.0374,51.8,93,90,16.11
119,Damnagar,IN,2021-07-22 19:39:19,21.7,71.5167,81.03,85,86,11.23
120,Jackson,US,2021-07-22 19:38:55,42.4165,-122.8345,81.43,38,1,3.44
121,Hilo,US,2021-07-22 19:38:07,19.7297,-155.09,84.27,88,90,9.22
122,Puerto Del Rosario,ES,2021-07-22 19:39:20,28.5004,-13.8627,74.95,69,20,19.57
123,Cape Town,ZA,2021-07-22 19:39:21,-33.9258,18.4232,49.1,74,0,8.05
124,Christiana,ZA,2021-07-22 19:39:21,-27.914,25.1611,32.31,42,0,9.35
125,Palmer,US,2021-07-22 19:36:33,42.1584,-72.3287,82.54,43,75,1.99
126,Mwanza,TZ,2021-07-22 19:39:22,-2.5167,32.9,77.05,36,20,11.5
127,Upernavik,GL,2021-07-22 19:39:23,72.7868,-56.1549,40.48,94,100,3.31
128,Diffa,NE,2021-07-22 19:39:24,13.3154,12.6113,86.43,52,100,7.47
129,Mataura,NZ,2021-07-22 19:39:24,-46.1927,168.8643,38.48,96,14,3.2
130,Cuencame,MX,2021-07-22 19:39:25,24.8711,-103.6964,76.78,51,100,10.92
131,Ilam,NP,2021-07-22 19:39:26,26.9167,87.9167,71.13,83,42,4.21
132,Geraldton,AU,2021-07-22 19:39:27,-28.7667,114.6,52.21,100,90,9.22
133,Broome,US,2021-07-22 19:39:28,42.2506,-75.833,75.47,57,1,3.0
134,Ust-Nera,RU,2021-07-22 19:39:29,64.5667,143.2,55.22,93,100,3.83
135,Nikolskoye,RU,2021-07-22 19:39:29,59.7035,30.7861,64.29,79,100,4.18
136,Jand,PK,2021-07-22 19:39:30,33.4299,72.0193,94.73,36,0,2.53
137,Biggar,GB,2021-07-22 19:39:30,55.6167,-3.5167,69.73,92,42,3.8
138,Vostok,RU,2021-07-22 19:39:31,46.4856,135.8833,68.58,85,95,3.58
139,Mineiros,BR,2021-07-22 19:39:32,-17.5694,-52.5511,85.39,22,0,7.81
140,Necochea,AR,2021-07-22 19:39:33,-38.5473,-58.7368,59.54,55,100,7.99
141,Chisindia,RO,2021-07-22 19:39:33,46.2833,22.1,72.39,66,6,2.19
142,Lakatoro,VU,2021-07-22 19:39:34,-16.0999,167.4164,77.77,83,16,6.42
143,Hasaki,JP,2021-07-22 19:39:34,35.7333,140.8333,75.49,84,28,4.76
144,Kerava,FI,2021-07-22 19:39:35,60.4034,25.105,64.74,55,0,4.0
145,Aktash,RU,2021-07-22 19:39:36,50.3,87.7333,53.56,67,100,4.56
146,Tekeli,KZ,2021-07-22 19:39:36,44.83,78.8239,62.29,63,0,9.86
147,Hithadhoo,MV,2021-07-22 19:36:18,-0.6,73.0833,79.34,82,100,12.35
148,Buraydah,SA,2021-07-22 19:39:37,26.326,43.975,100.85,14,65,11.48
149,Domoni,KM,2021-07-22 19:39:37,-12.2569,44.5319,74.82,76,3,3.2
150,Juazeiro,BR,2021-07-22 19:39:38,-9.4117,-40.4986,86.18,42,40,13.8
151,Skibbereen,IE,2021-07-22 19:36:40,51.55,-9.2667,71.4,86,37,11.81
152,Nouadhibou,MR,2021-07-22 19:39:39,20.931,-17.0347,71.58,78,0,16.11
153,Porto Novo,BJ,2021-07-22 19:39:40,6.4965,2.6036,80.42,77,19,8.39
154,Kabalo,CD,2021-07-22 19:39:40,-6.05,26.9167,80.11,31,8,5.01
155,La Asuncion,VE,2021-07-22 19:39:41,11.0333,-63.8628,85.73,70,100,20.71
156,Baraki Barak,AF,2021-07-22 19:39:41,33.9675,68.9486,72.88,31,3,5.14
157,Shimoda,JP,2021-07-22 19:39:42,34.6667,138.95,74.1,82,30,5.01
158,San Policarpo,PH,2021-07-22 19:39:42,12.1791,125.5072,82.13,71,100,14.25
159,Bafra,TR,2021-07-22 19:39:43,41.5678,35.9069,76.78,80,2,9.24
160,Faanui,PF,2021-07-22 19:39:43,-16.4833,-151.75,78.3,72,71,14.76
161,Medicine Hat,CA,2021-07-22 19:39:44,50.0501,-110.6683,85.57,20,20,12.66
162,Hamilton,US,2021-07-22 19:38:23,39.1834,-84.5333,83.75,50,1,1.99
163,Tasiilaq,GL,2021-07-22 19:39:45,65.6145,-37.6368,44.76,97,100,9.17
164,Dikson,RU,2021-07-22 19:39:45,73.5069,80.5464,38.64,99,100,24.52
165,Gigmoto,PH,2021-07-22 19:39:46,13.7796,124.39,80.2,88,100,17.13
166,Entre Rios,BR,2021-07-22 19:39:47,-11.9419,-38.0844,72.95,76,8,7.29
167,Pokrovskoye,RU,2021-07-22 19:39:47,47.4157,38.8971,75.81,82,100,8.3
168,Shakawe,BW,2021-07-22 19:39:48,-18.3667,21.85,51.04,25,28,7.29
